code,name,faculty,duration,type,branch,section,year,credits,semesterHalf,basket,isElective,sharedWith
DS456,Cybersecurity,Dr. Rajendra Hegadi,1,Theory,CSE,ALL,4,4,0,1,FALSE,"DSAI,ECE"
EC456,Techniques Reinforcement Learning,Dr. Dibyajyothi,1,Theory,CSE,ALL,4,4,0,1,FALSE,"DSAI,ECE"
DS401,Health Care Data Analytics,Dr. Girish G N,1,Theory,CSE,ALL,4,4,0,1,FALSE,"DSAI,ECE"
EC462,Generative AI,Dr. Chinmayananda A,1,Theory,CSE,ALL,4,4,0,1,FALSE,"DSAI,ECE"
EC463,Hands on CMOS Analog and RF circuit design,Dr. Rajesh Kumar,1,Theory,CSE,ALL,4,4,0,1,FALSE,"DSAI,ECE"
ASD352,Fog Interactions and Experience Design,Dr. Sandesh P,1,Theory,CSE,ALL,4,4,0,1,FALSE,"DSAI,ECE"
PH454,Quantum AI: Generative Models on Quantum Platform,Dr. Aswath Babu,1,Theory,CSE,ALL,4,4,0,1,FALSE,"DSAI,ECE"
CS457,DevOps and its Applications,Dr. Shrishendu Layek,1,Theory,CSE,ALL,4,4,0,1,FALSE,"DSAI,ECE"
DS458,Aseptic AI,Dr. Sunil Saumya,1,Theory,CSE,ALL,4,4,0,1,FALSE,"DSAI,ECE"
CS468,Information Retrieval Cloud SRE and,Dr. Krishnendu,1,Theory,CSE,ALL,4,4,0,1,FALSE,"DSAI,ECE"
CS473,Security Software Defined Networks,Dr. Malay Kumar,1,Theory,CSE,ALL,4,4,0,1,FALSE,"DSAI,ECE"
CS470,AI for Cybersecurity Finance and,Dr. Abdul Wahid,1,Theory,CSE,ALL,4,4,0,1,FALSE,"DSAI,ECE"
DS102,Accounting,Dr. Amushree,1,Theory,CSE,ALL,4,4,0,1,FALSE,"DSAI,ECE"
MA452,Operation Research,Dr. Anand Barangi,1,Theory,CSE,ALL,4,4,0,1,FALSE,"DSAI,ECE"
EC463,Energy Efficient Neural Networks,Dr. Jagadish D N,1,Theory,CSE,ALL,4,4,0,1,FALSE,"DSAI,ECE"
DS456,Cybersecurity,Dr. Rajendra Hegadi,1,Theory,DSAI,ALL,4,4,0,1,FALSE,"CSE,ECE"
